id,level,difficulty,question,debit_accounts,debit_amounts,credit_accounts,credit_amounts,account_pool,explanation
1,3級,初級,現金50000円を元入れして開業した。,現金,50000,資本金,50000,現金|資本金|普通預金|借入金|売上|仕入,元入れ(出資)を受けたので現金が増加し資本金が増加する。
2,3級,初級,商品30000円を仕入れ、代金は現金で支払った。,仕入,30000,現金,30000,仕入|現金|買掛金|売上|売掛金|普通預金,商品を仕入れたので仕入(費用)が増加し、現金で支払ったので現金が減少する。
3,3級,初級,商品50000円を売り上げ、代金は現金で受け取った。,現金,50000,売上,50000,現金|売上|売掛金|仕入|買掛金|普通預金,商品を売り上げ現金を受け取ったので現金が増加し売上(収益)が増加する。
4,3級,初級,普通預金口座に現金100000円を預け入れた。,普通預金,100000,現金,100000,普通預金|現金|当座預金|定期預金|借入金|売上,現金を預金口座に預け入れたので普通預金が増加し現金が減少する。
5,3級,中級,商品80000円を仕入れ、代金は掛けとした。,仕入,80000,買掛金,80000,仕入|買掛金|現金|売掛金|売上|支払手形,掛けで仕入れたので仕入(費用)が増加し、支払義務である買掛金(負債)が増加する。
6,3級,中級,得意先に商品120000円を売り上げ、代金は掛けとした。,売掛金,120000,売上,120000,売掛金|売上|買掛金|仕入|現金|受取手形,掛けで売り上げたので代金を受け取る権利である売掛金(資産)が増加し売上(収益)が増加する。
7,3級,中級,買掛金60000円を現金で支払った。,買掛金,60000,現金,60000,買掛金|現金|売掛金|仕入|普通預金|支払手形,買掛金(負債)を支払ったので買掛金が減少し、現金で支払ったので現金が減少する。
8,3級,中級,売掛金90000円を現金で回収した。,現金,90000,売掛金,90000,現金|売掛金|買掛金|受取手形|普通預金|売上,売掛金(資産)を現金で回収したので現金が増加し売掛金が減少する。
9,3級,中級,銀行から現金200000円を借り入れた。,現金,200000,借入金,200000,現金|借入金|貸付金|普通預金|資本金|支払利息,現金を借り入れたので現金(資産)が増加し借入金(負債)が増加する。
10,3級,上級,備品150000円を購入し、代金は現金で支払った。,備品,150000,現金,150000,備品|現金|建物|消耗品費|土地|未払金,備品(固定資産)を現金で購入したので備品が増加し現金が減少する。
11,3級,上級,従業員に給料100000円を現金で支払った。,給料,100000,現金,100000,給料|現金|広告宣伝費|支払手数料|水道光熱費|通信費,給料(費用)を現金で支払ったので給料が増加し現金が減少する。
12,3級,上級,家賃30000円を現金で受け取った。,現金,30000,受取家賃,30000,現金|受取家賃|支払家賃|売上|受取利息|雑費,家賃を受け取ったので現金が増加し受取家賃(収益)が増加する。
13,2級,中級,約束手形120000円を振り出して商品を仕入れた。,仕入,120000,支払手形,120000,仕入|支払手形|買掛金|受取手形|電子記録債務|現金,手形を振り出して仕入れたので仕入(費用)が増加し支払手形(負債)が増加する。
14,2級,中級,得意先振出の約束手形80000円を受け取り、商品を売り上げた。,受取手形,80000,売上,80000,受取手形|売上|売掛金|支払手形|電子記録債権|現金,約束手形を受け取ったので受取手形(資産)が増加し売上(収益)が増加する。
15,2級,上級,決算にあたり、備品(取得原価500000円)について定額法(耐用年数5年、残存価額0円)により減価償却費を計上した。,減価償却費,100000,減価償却累計額,100000,減価償却費|減価償却累計額|備品|支払家賃|建物|租税公課,500000円÷5年=100000円が当期の減価償却費となり、間接法のため減価償却累計額を貸方に計上する。
16,2級,上級,売掛金200000円が貸し倒れとなり、貸倒引当金を50000円設定していたためこれを充当し、残額は貸倒損失として処理した。,貸倒引当金;貸倒損失,50000;150000,売掛金,200000,貸倒引当金|貸倒損失|売掛金|貸倒引当金繰入|現金|買掛金,貸倒引当金の範囲内は貸倒引当金を取り崩し、超過額は貸倒損失(費用)として処理する。
17,2級,上級,当座預金口座から法人税等150000円を納付した。,法人税等,150000,当座預金,150000,法人税等|当座預金|租税公課|未払法人税等|現金|普通預金,法人税等(費用)を計上し、当座預金を減少させる。
18,2級,中級,商品100000円をクレジットカード払いの条件で売り上げた。なお、信販会社への手数料(売上の3%)を販売時に計上する。,クレジット売掛金;支払手数料,97000;3000,売上,100000,クレジット売掛金|支払手数料|売上|売掛金|現金|仕入,クレジット売掛金は手数料を差し引いた97000円、支払手数料は3000円を借方に計上し、売上は総額100000円を貸方に計上する。
19,3級,中級,建物400000円・土地200000円・備品50000円を出資として受け入れ、開業した。,建物;土地;備品,400000;200000;50000,資本金,650000,建物|土地|備品|資本金|現金|普通預金,出資を受けた資産(建物・土地・備品)をそれぞれ借方に計上し、その合計額650000円を資本金として貸方に計上する。
20,3級,初級,消耗品10000円を購入し、代金は現金で支払った。,消耗品費,10000,現金,10000,消耗品費|現金|通信費|水道光熱費|広告宣伝費|租税公課,消耗品費(費用)が増加し、現金で支払ったので現金が減少する。
21,3級,初級,通信費5000円を現金で支払った。,通信費,5000,現金,5000,通信費|現金|水道光熱費|消耗品費|広告宣伝費|租税公課,通信費(費用)が増加し、現金で支払ったので現金が減少する。
22,3級,初級,水道光熱費12000円を現金で支払った。,水道光熱費,12000,現金,12000,水道光熱費|現金|通信費|消耗品費|広告宣伝費|支払家賃,水道光熱費(費用)が増加し、現金で支払ったので現金が減少する。
23,3級,初級,広告宣伝費20000円を現金で支払った。,広告宣伝費,20000,現金,20000,広告宣伝費|現金|通信費|水道光熱費|消耗品費|支払手数料,広告宣伝費(費用)が増加し、現金で支払ったので現金が減少する。
24,3級,中級,商品40000円を仕入れ、代金は掛けとした。なお、引取運賃2000円を現金で支払った。,仕入,42000,買掛金;現金,40000;2000,仕入|買掛金|現金|売上|売掛金|支払手形,引取運賃は仕入原価に含めるため仕入は42000円となる。掛け代金は買掛金、運賃は現金で処理する。
25,3級,初級,売掛金50000円が普通預金口座に振り込まれた。,普通預金,50000,売掛金,50000,普通預金|売掛金|現金|買掛金|当座預金|借入金,普通預金(資産)が増加し、売掛金(資産)が減少する。
26,3級,初級,買掛金70000円を普通預金口座から支払った。,買掛金,70000,普通預金,70000,買掛金|普通預金|現金|売掛金|当座預金|支払手形,買掛金(負債)が減少し、普通預金(資産)が減少する。
27,3級,中級,現金の実際有高が帳簿残高より3000円不足していたため、現金過不足として処理した。,現金過不足,3000,現金,3000,現金過不足|現金|雑損|雑益|通信費|水道光熱費,帳簿残高を実際有高に合わせるため現金を減少させ、差額を現金過不足として借方に計上する。
28,3級,上級,先に計上した現金過不足3000円について原因を調査したところ、通信費の記帳漏れ2000円であることが判明した。残額は雑損として処理した。,通信費;雑損,2000;1000,現金過不足,3000,通信費|雑損|現金過不足|現金|雑益|水道光熱費,判明した原因分を通信費に振り替え、原因不明の残額は雑損(費用)として処理する。
29,3級,初級,得意先から売掛金の回収として、同店振出の小切手30000円を受け取った。,現金,30000,売掛金,30000,現金|売掛金|買掛金|受取手形|普通預金|当座預金,他人振出の小切手は通貨代用証券のため現金で処理し、売掛金が減少する。
30,3級,中級,商品60000円を仕入れ、代金は約束手形を振り出して支払った。,仕入,60000,支払手形,60000,仕入|支払手形|買掛金|現金|受取手形|売上,手形を振り出して仕入れたので仕入(費用)が増加し支払手形(負債)が増加する。
31,3級,中級,商品90000円を売り上げ、代金のうち40000円は現金で受け取り、残額は掛けとした。,現金;売掛金,40000;50000,売上,90000,現金|売掛金|売上|仕入|買掛金|受取手形,受け取った現金と掛け代金である売掛金をそれぞれ借方に計上し、売上総額を貸方に計上する。
32,3級,初級,事務所の家賃50000円を現金で支払った。,支払家賃,50000,現金,50000,支払家賃|現金|受取家賃|水道光熱費|通信費|広告宣伝費,支払家賃(費用)が増加し、現金で支払ったので現金が減少する。
33,3級,中級,借入金100000円とその利息2000円を現金で返済した。,借入金;支払利息,100000;2000,現金,102000,借入金|支払利息|現金|貸付金|受取利息|普通預金,元本である借入金と利息である支払利息をそれぞれ借方に計上し、合計額を現金の減少として処理する。
34,3級,中級,貸付金50000円とその利息1000円を現金で受け取った。,現金,51000,貸付金;受取利息,50000;1000,現金|貸付金|受取利息|借入金|支払利息|普通預金,受け取った現金合計を借方に計上し、貸付金の回収と利息収入をそれぞれ貸方に計上する。
35,3級,上級,従業員が出張から戻り、仮払いしていた30000円のうち25000円を旅費交通費として精算し、残額5000円は現金で受け取った。,旅費交通費;現金,25000;5000,仮払金,30000,旅費交通費|現金|仮払金|仮受金|給料|通信費,実際にかかった旅費交通費と返金された現金をそれぞれ借方に計上し、仮払金を精算して貸方に計上する。
36,3級,中級,商品80000円を売り上げ、その代金は先方振出の約束手形で受け取った。,受取手形,80000,売上,80000,受取手形|売上|売掛金|支払手形|現金|買掛金,約束手形を受け取ったので受取手形(資産)が増加し売上(収益)が増加する。
37,3級,初級,収入印紙5000円を現金で購入した。,租税公課,5000,現金,5000,租税公課|現金|通信費|消耗品費|水道光熱費|広告宣伝費,収入印紙の購入費用は租税公課(費用)として処理し、現金が減少する。
38,3級,初級,事務用消耗品8000円を購入し、代金は月末払いとした。,消耗品費,8000,未払金,8000,消耗品費|未払金|現金|買掛金|通信費|水道光熱費,消耗品費(費用)が増加し、代金は後日払いのため未払金(負債)が増加する。
39,3級,中級,現金の帳簿残高より実際有高が5000円多かったため、現金過不足として処理した。,現金,5000,現金過不足,5000,現金|現金過不足|雑益|雑損|通信費|水道光熱費,実際有高に合わせて現金を増加させ、差額を現金過不足として貸方に計上する。
40,3級,上級,先に計上した現金過不足5000円について原因を調査したところ、受取手数料の記帳漏れ3000円であることが判明した。残額は雑益として処理した。,現金過不足,5000,受取手数料;雑益,3000;2000,現金過不足|受取手数料|雑益|現金|雑損|通信費,判明した原因分を受取手数料に振り替え、原因不明の残額は雑益(収益)として処理する。
41,3級,中級,得意先の倒産により売掛金40000円が貸し倒れとなった。なお、貸倒引当金の残高はない。,貸倒損失,40000,売掛金,40000,貸倒損失|売掛金|貸倒引当金|貸倒引当金繰入|現金|買掛金,貸倒引当金の残高がないため、貸し倒れた売掛金全額を貸倒損失(費用)として処理する。
42,3級,上級,決算にあたり、売掛金の期末残高500000円に対して2%の貸倒引当金を設定した(差額補充法。貸倒引当金の期末残高は3000円)。,貸倒引当金繰入,7000,貸倒引当金,7000,貸倒引当金繰入|貸倒引当金|売掛金|貸倒損失|現金|買掛金,設定額10000円(500000円×2%)から既存残高3000円を差し引いた7000円を貸倒引当金繰入として計上する。
43,3級,上級,小口現金として20000円を小切手を振り出して用度係に前渡しした。,小口現金,20000,当座預金,20000,小口現金|当座預金|現金|普通預金|仮払金|旅費交通費,小口現金(資産)が増加し、小切手を振り出したため当座預金(資産)が減少する。
44,3級,初級,郵便切手2000円を現金で購入した。,通信費,2000,現金,2000,通信費|現金|消耗品費|水道光熱費|広告宣伝費|租税公課,郵便切手の購入費用は通信費(費用)として処理し、現金が減少する。
45,3級,中級,先に掛けで仕入れた商品のうち、品違いのため5000円分を返品した。,買掛金,5000,仕入,5000,買掛金|仕入|現金|売掛金|売上|支払手形,返品により仕入(費用)が減少し、支払義務である買掛金(負債)も減少する。
46,3級,中級,先に掛けで売り上げた商品のうち、品違いのため得意先から3000円分の返品を受けた。,売上,3000,売掛金,3000,売上|売掛金|現金|買掛金|仕入|受取手形,返品により売上(収益)が減少し、代金を受け取る権利である売掛金(資産)も減少する。
47,3級,初級,現金250000円を元入れして開業した。,現金,250000,資本金,250000,現金|資本金|普通預金|借入金|売上|仕入,元入れ(出資)を受けたので現金が増加し資本金が増加する。
48,3級,上級,事業主が私用のため、店の現金30000円を引き出した。,資本金,30000,現金,30000,資本金|現金|普通預金|借入金|売上|仕入,事業主の私的な引き出しにより、出資額である資本金を減少させ現金も減少する。
49,3級,中級,商品120000円を売り上げ、代金は同店振出の約束手形で受け取った。,受取手形,120000,売上,120000,受取手形|売上|売掛金|現金|買掛金|支払手形,約束手形を受け取ったので受取手形(資産)が増加し売上(収益)が増加する。
